0,FairStockEquity.sol,0
17,FairStockEquity.sol,31.25
32,FairStockEquity.sol,31.25
48,FairStockEquity.sol,34.38
68,FairStockEquity.sol,46.88
88,FairStockEquity.sol,56.25
107,FairStockEquity.sol,59.38
126,FairStockEquity.sol,59.38
144,FairStockEquity.sol,59.38
165,FairStockEquity.sol,59.38
190,FairStockEquity.sol,62.5
212,FairStockEquity.sol,62.5
230,FairStockEquity.sol,62.5
252,FairStockEquity.sol,62.5
273,FairStockEquity.sol,62.5
290,FairStockEquity.sol,62.5
312,FairStockEquity.sol,65.63
333,FairStockEquity.sol,65.63
357,FairStockEquity.sol,68.75
379,FairStockEquity.sol,68.75
399,FairStockEquity.sol,68.75
418,FairStockEquity.sol,68.75
438,FairStockEquity.sol,68.75
459,FairStockEquity.sol,68.75
478,FairStockEquity.sol,68.75
499,FairStockEquity.sol,68.75
518,FairStockEquity.sol,68.75
538,FairStockEquity.sol,68.75
555,FairStockEquity.sol,68.75
574,FairStockEquity.sol,68.75
593,FairStockEquity.sol,68.75
615,FairStockEquity.sol,68.75
635,FairStockEquity.sol,68.75
656,FairStockEquity.sol,71.88
674,FairStockEquity.sol,71.88
692,FairStockEquity.sol,71.88
710,FairStockEquity.sol,71.88
731,FairStockEquity.sol,71.88
749,FairStockEquity.sol,71.88
766,FairStockEquity.sol,71.88
784,FairStockEquity.sol,71.88
802,FairStockEquity.sol,71.88
821,FairStockEquity.sol,71.88
841,FairStockEquity.sol,71.88
860,FairStockEquity.sol,71.88
880,FairStockEquity.sol,71.88
899,FairStockEquity.sol,71.88
919,FairStockEquity.sol,71.88
938,FairStockEquity.sol,75
959,FairStockEquity.sol,75
976,FairStockEquity.sol,75
996,FairStockEquity.sol,75
1016,FairStockEquity.sol,75
1037,FairStockEquity.sol,75
1056,FairStockEquity.sol,78.13
1075,FairStockEquity.sol,78.13
1096,FairStockEquity.sol,78.13
1118,FairStockEquity.sol,78.13
1136,FairStockEquity.sol,78.13
1155,FairStockEquity.sol,78.13
1176,FairStockEquity.sol,78.13
1194,FairStockEquity.sol,78.13
1211,FairStockEquity.sol,78.13
1230,FairStockEquity.sol,78.13
1254,FairStockEquity.sol,78.13
1276,FairStockEquity.sol,78.13
1299,FairStockEquity.sol,78.13
1321,FairStockEquity.sol,78.13
1342,FairStockEquity.sol,78.13
1364,FairStockEquity.sol,78.13
1379,FairStockEquity.sol,78.13
1398,FairStockEquity.sol,78.13
1418,FairStockEquity.sol,78.13
1435,FairStockEquity.sol,78.13
1453,FairStockEquity.sol,78.13
1472,FairStockEquity.sol,78.13
1490,FairStockEquity.sol,78.13
1513,FairStockEquity.sol,78.13
1532,FairStockEquity.sol,78.13
1553,FairStockEquity.sol,78.13
1576,FairStockEquity.sol,78.13
1594,FairStockEquity.sol,78.13
1613,FairStockEquity.sol,78.13
1642,FairStockEquity.sol,78.13
1661,FairStockEquity.sol,78.13
1683,FairStockEquity.sol,78.13
1703,FairStockEquity.sol,78.13
1721,FairStockEquity.sol,78.13
1754,FairStockEquity.sol,78.13
1784,FairStockEquity.sol,78.13
1801,FairStockEquity.sol,78.13
