SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
UniswapV2OracleExample.sol,,512,sFuzz,true,false,0.05555555555555555,0,6,0,1,31,0.03225806451612903,1,4,0.25,0,8,0,5.180999994277954,895.0310001373291,900.212000131607,365,4025,1
IUniswapV2.sol,,512,sFuzz,true,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8410000801086426,899.1899998188019,900.0309998989105,886,9754,1
IUniswapV2Factory.sol,,512,sFuzz,true,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8789999485015869,899.1659998893738,900.0449998378754,841,9253,1
IUniswapV2OracleExample.sol,,512,sFuzz,true,false,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0570001602172852,900.0029997825623,901.0599999427795,586,6453,1
