BAE.sol,,927,Random,false,0.35714285714285715,0,6,0,9,50,0.18,5,8,0.625,12,36,0.3333333333333333,1809.25,177,5
GUMARewards.sol,,588,Random,false,0.6037735849056604,4,12,0.3333333333333333,51,91,0.5604395604395604,30,44,0.6818181818181818,14,30,0.4666666666666667,1802.4460000991821,315,5
CryptoGhost.sol,,802,Random,false,0.6,35,40,0.875,62,77,0.8051948051948052,10,10,1,5,12,0.4166666666666667,1860.1790001392365,65,5
BTCParamV2.sol,,209,Random,false,0.19230769230769232,0,12,0,16,56,0.2857142857142857,5,16,0.3125,6,14,0.42857142857142855,1803.9800000190735,404,5
YieldFarmLP2.sol,,5,Random,false,0.38235294117647056,1,20,0.05,19,54,0.35185185185185186,12,14,0.8571428571428571,0,8,0,1803.4860000610352,286,5
Voting.sol,,691,Random,false,0.20930232558139536,0,30,0,34,250,0.136,29,111,0.26126126126126126,11,94,0.11702127659574468,1809.691999912262,164,5
Controller.sol,,469,Random,false,0.7037037037037037,0,8,0,38,70,0.5428571428571428,19,19,1,32,34,0.9411764705882353,1807.1579999923706,324,5
Dipex.sol,,219,Random,false,0.4,5,22,0.22727272727272727,28,39,0.717948717948718,7,8,0.875,9,12,0.75,1801.2289998531342,315,5
CryptoSecureBankToken.sol,,542,Random,false,0.6727272727272727,12,26,0.46153846153846156,75,104,0.7211538461538461,32,33,0.9696969696969697,21,26,0.8076923076923077,1805.5739998817444,234,5
INS.sol,,956,Random,false,1,1,2,0.5,27,37,0.7297297297297297,8,8,1,10,14,0.7142857142857143,1800.789999961853,398,5
MARVELCOIN.sol,,779,Random,false,1,1,2,0.5,27,37,0.7297297297297297,8,8,1,10,14,0.7142857142857143,1806.1679999828339,352,149
Weedburn.sol,,354,Random,false,0.6666666666666666,2,10,0.2,60,88,0.6818181818181818,24,26,0.9230769230769231,28,40,0.7,1800.651999950409,490,149
GFC.sol,,436,Random,false,1,1,2,0.5,28,37,0.7567567567567568,8,8,1,12,14,0.8571428571428571,1801.7720000743866,304,149
Cryptoz.sol,,33,Random,false,0.49019607843137253,2,18,0.1111111111111111,48,155,0.3096774193548387,24,34,0.7058823529411765,28,74,0.3783783783783784,1811.920000076294,120,149
AavePoolReward.sol,,14,Random,false,0.7142857142857143,5,10,0.5,27,44,0.6136363636363636,11,12,0.9166666666666666,6,6,1,1802.1040000915527,313,149
LUP.sol,,69,Random,false,0.6206896551724138,2,12,0.16666666666666666,28,49,0.5714285714285714,15,18,0.8333333333333334,6,10,0.6,1809.1399998664856,245,149
BACMARSLPTOKENPool.sol,,455,Random,false,0.6222222222222222,6,12,0.5,52,94,0.5531914893617021,25,36,0.6944444444444444,17,30,0.5666666666666667,1800.2030000686646,305,149
PACT.sol,,541,Random,false,0.85,0,0,0,23,72,0.3194444444444444,17,20,0.85,7,32,0.21875,1804.654000043869,300,149
NAL.sol,,776,Random,false,0.717948717948718,4,18,0.2222222222222222,105,150,0.7,58,65,0.8923076923076924,44,56,0.7857142857142857,1808.4100000858307,225,149
MarsStakingRewards.sol,,299,Random,false,0.5964912280701754,4,12,0.3333333333333333,55,115,0.4782608695652174,33,49,0.673469387755102,18,42,0.42857142857142855,1805.366000175476,268,134
CourtFarming_RoomLPStake.sol,,905,Random,false,0.6153846153846154,12,32,0.375,73,108,0.6759259259259259,20,20,1,4,4,1,1804.5750000476837,292,134
Revive.sol,,80,Random,false,0.6440677966101694,9,22,0.4090909090909091,74,109,0.6788990825688074,33,38,0.868421052631579,26,36,0.7222222222222222,1803.1819999217987,284,134
Token50X100.sol,,47,Random,false,0.3466666666666667,3,36,0.08333333333333333,50,146,0.3424657534246575,24,40,0.6,13,50,0.26,1804.8580000400543,314,134
Reentrance.sol,,806,Random,false,0.375,1,4,0.25,6,24,0.25,4,12,0.3333333333333333,2,10,0.2,1800.3259999752045,357,134
TokenDispatch.sol,,989,Random,false,0.25,0,22,0,18,100,0.18,5,10,0.5,5,34,0.14705882352941177,1800.2839999198914,899,134
ThriftToken.sol,,129,Random,false,0.8461538461538461,1,2,0.5,42,58,0.7241379310344828,10,11,0.9090909090909091,40,52,0.7692307692307693,1800.726000070572,374,134
TPA.sol,,389,Random,false,0.717948717948718,4,18,0.2222222222222222,106,150,0.7066666666666667,57,65,0.8769230769230769,44,56,0.7857142857142857,1806.1770000457764,227,134
ANRXToken.sol,,777,Random,false,0.4782608695652174,6,12,0.5,34,44,0.7727272727272727,11,11,1,13,16,0.8125,1806.1130001544952,297,134
Baz.sol,,345,Random,false,0.8,7,8,0.875,14,16,0.875,2,2,1,0,0,0,1801.170000076294,418,134
WheatFarm.sol,,167,Random,false,0.19047619047619047,5,26,0.19230769230769232,28,105,0.26666666666666666,7,37,0.1891891891891892,9,40,0.225,1804.1299998760223,497,143
MIMOToken.sol,,34,Random,false,0.9166666666666666,1,2,0.5,25,43,0.5813953488372093,10,10,1,10,12,0.8333333333333334,1801.7439999580383,286,143
BirdOracle.sol,,7,Random,false,0.6153846153846154,15,28,0.5357142857142857,44,66,0.6666666666666666,9,9,1,0,2,0,1801.7640001773834,478,143
Final.sol,,916,Random,false,0.19047619047619047,5,26,0.19230769230769232,28,105,0.26666666666666666,7,37,0.1891891891891892,9,40,0.225,1803.826000213623,241,143
REXUNIFINANCE.sol,,460,Random,false,0.8461538461538461,1,2,0.5,42,58,0.7241379310344828,10,11,0.9090909090909091,40,52,0.7692307692307693,1800.654000043869,374,143
