SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,SEARCH_TIME,ITERATIONS,ID
Liquidity_v8.sol,,893,Random,false,0.4117647058823529,2,18,0.1111111111111111,34,126,0.2698412698412698,18,33,0.5454545454545454,14,48,0.2916666666666667,1801.7839999198914,287,287,143
LpStaking.sol,,320,Random,false,0.3333333333333333,2,24,0.08333333333333333,39,139,0.2805755395683453,22,48,0.4583333333333333,12,42,0.2857142857142857,1803.7350001335144,273,273,143
QuickToken.sol,,802,Random,false,0.6451612903225806,4,8,0.5,50,76,0.6578947368421053,16,23,0.6956521739130435,23,34,0.6764705882352942,1802.1849999427795,366,366,143
WheatFarm.sol,,764,Random,false,0.19047619047619047,5,26,0.19230769230769232,28,105,0.26666666666666666,7,37,0.1891891891891892,9,40,0.225,1801.7269999980927,522,522,143
BirdOracle.sol,,204,Random,false,0.717948717948718,16,28,0.5714285714285714,45,66,0.6818181818181818,9,9,1,0,2,0,1804.1230001449585,425,425,143
UNIWHALE_ERC20.sol,,1,Random,false,0.5,0,6,0,17,41,0.4146341463414634,7,8,0.875,2,8,0.25,1801.4379999637604,460,460,143
MIMOToken.sol,,538,Random,false,0.9166666666666666,1,2,0.5,25,43,0.5813953488372093,10,10,1,10,12,0.8333333333333334,1800.361999988556,285,285,143
PlasmaswapPair.sol,,575,Random,false,0.21052631578947367,0,23,0,20,99,0.20202020202020202,8,14,0.5714285714285714,5,22,0.22727272727272727,1800.7890000343323,325,325,143
MARVELCOIN.sol,,712,Random,false,1,1,2,0.5,27,37,0.7297297297297297,8,8,1,10,14,0.7142857142857143,1801.7860000133514,325,325,149
AavePoolReward.sol,,191,Random,false,0.7272727272727273,5,10,0.5,27,44,0.6136363636363636,11,12,0.9166666666666666,6,6,1,1802.4629998207092,299,299,149
GFC.sol,,60,Random,false,1,1,2,0.5,27,37,0.7297297297297297,8,8,1,10,14,0.7142857142857143,1808.180999994278,313,313,149
BACMARSLPTOKENPool.sol,,9,Random,false,0.6458333333333334,6,12,0.5,52,94,0.5531914893617021,25,36,0.6944444444444444,17,30,0.5666666666666667,1802.891000032425,311,311,149
LUP.sol,,985,Random,false,0.5666666666666667,2,12,0.16666666666666666,28,49,0.5714285714285714,15,18,0.8333333333333334,6,10,0.6,1800.3570001125336,266,266,149
NAL.sol,,347,Random,false,0.7469879518072289,4,18,0.2222222222222222,107,150,0.7133333333333334,58,65,0.8923076923076924,45,56,0.8035714285714286,1800.3519999980927,236,236,149
PACT.sol,,811,Random,false,0.85,0,0,0,23,72,0.3194444444444444,17,20,0.85,7,32,0.21875,1804.2669999599457,311,311,149
Weedburn.sol,,932,Random,false,0.7777777777777778,2,10,0.2,60,88,0.6818181818181818,24,26,0.9230769230769231,28,40,0.7,1800.8730001449585,350,350,149
DmmControllerV2.sol,,522,DynaMOSA,false,0.224,0,14,0,56,258,0.21705426356589147,28,111,0.25225225225225223,16,102,0.1568627450980392,1624.0360000133514,8,92,37
LIBERAPAY.sol,,412,DynaMOSA,false,0.582089552238806,5,28,0.17857142857142858,83,141,0.5886524822695035,34,39,0.8717948717948718,40,50,0.8,1703.1080000400543,23,257,37
SLTDStaking.sol,,705,DynaMOSA,false,0.576271186440678,4,12,0.3333333333333333,47,100,0.47,29,47,0.6170212765957447,16,34,0.47058823529411764,1735.9409999847412,27,306,37
vnxManager.sol,,619,DynaMOSA,false,0.8636363636363636,0,2,0,30,43,0.6976744186046512,19,20,0.95,14,26,0.5384615384615384,1745.1640000343323,34,374,37
SALESCONTRACT.sol,,354,DynaMOSA,false,0.5,0,8,0,14,57,0.24561403508771928,8,8,1,2,24,0.08333333333333333,1735.4389998912811,24,273,37
DJCoin.sol,,517,DynaMOSA,false,0.8387096774193549,3,6,0.5,69,91,0.7582417582417582,22,25,0.88,18,28,0.6428571428571429,1707.808000087738,24,270,37
StakingDextoken.sol,,483,DynaMOSA,false,0.7837837837837838,4,10,0.4,54,93,0.5806451612903226,25,27,0.9259259259259259,37,50,0.74,1717.09099984169,24,264,37
BlueICE.sol,,78,DynaMOSA,false,0.6842105263157895,7,14,0.5,67,117,0.5726495726495726,31,43,0.7209302325581395,20,38,0.5263157894736842,1769.7389998435974,25,283,37
SLTDETHlpReward.sol,,210,DynaMOSA,false,0.7049180327868853,7,14,0.5,66,105,0.6285714285714286,36,47,0.7659574468085106,19,34,0.5588235294117647,1715.5970001220703,25,278,40
PRDZstakingV2.sol,,972,DynaMOSA,false,0.47692307692307695,5,26,0.19230769230769232,53,136,0.3897058823529412,26,39,0.6666666666666666,7,18,0.3888888888888889,1712.2530000209808,28,313,40
