SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,SEARCH_TIME,ITERATIONS,ID
KPLAY.sol,,270,DynaMOSA,true,0.6346153846153846,2,12,0.16666666666666666,86,124,0.6935483870967742,39,46,0.8478260869565217,38,50,0.76,879.3729999065399,14,3
TetherToken.sol,,856,DynaMOSA,true,0.660377358490566,6,12,0.5,42,51,0.8235294117647058,11,11,1,29,30,0.9666666666666667,891.6579999923706,14,3
FairStockEquity.sol,,446,DynaMOSA,true,0.5375,1,6,0.16666666666666666,56,120,0.4666666666666667,25,28,0.8928571428571429,26,48,0.5416666666666666,940.2350001335144,11,3
Rexona.sol,,529,DynaMOSA,true,0.42857142857142855,6,22,0.2727272727272727,28,39,0.717948717948718,7,8,0.875,9,12,0.75,850.8389999866486,13,3
OnXFinance.sol,,71,DynaMOSA,true,0.1650485436893204,5,26,0.19230769230769232,28,105,0.26666666666666666,7,37,0.1891891891891892,9,40,0.225,903.045000076294,13,3
MarsStakingRewards.sol,,363,Random,false,0.5263157894736842,2,12,0.16666666666666666,49,115,0.4260869565217391,31,49,0.6326530612244898,17,42,0.40476190476190477,901.3429999351501,148,14
ThriftToken.sol,,876,Random,false,0.8461538461538461,1,2,0.5,42,58,0.7241379310344828,10,11,0.9090909090909091,40,52,0.7692307692307693,904.545000076294,204,14
TokenDispatch.sol,,311,Random,false,0.25,0,22,0,18,100,0.18,5,10,0.5,5,34,0.14705882352941177,900.0369999408722,457,14
Reentrance.sol,,192,Random,false,0.375,1,4,0.25,6,24,0.25,4,12,0.3333333333333333,2,10,0.2,900.8840000629425,221,14
TPA.sol,,963,Random,false,0.7051282051282052,4,18,0.2222222222222222,104,150,0.6933333333333334,57,65,0.8769230769230769,43,56,0.7678571428571429,902.3550000190735,111,14
Token50X100.sol,,371,Random,false,0.3466666666666667,3,36,0.08333333333333333,50,146,0.3424657534246575,24,40,0.6,13,50,0.26,900.5810000896454,152,14
Baz.sol,,967,Random,false,0.8,7,8,0.875,14,16,0.875,2,2,1,0,0,0,903.085000038147,244,14
ANRXToken.sol,,430,Random,false,0.4782608695652174,6,12,0.5,34,44,0.7727272727272727,11,11,1,13,16,0.8125,900.3659999370575,174,14
Revive.sol,,345,Random,false,0.6440677966101694,9,22,0.4090909090909091,74,109,0.6788990825688074,33,38,0.868421052631579,26,36,0.7222222222222222,904.0699999332428,154,14
CourtFarming_RoomLPStake.sol,,481,Random,false,0.6153846153846154,11,32,0.34375,69,108,0.6388888888888888,19,20,0.95,2,4,0.5,904.9719998836517,148,14
FairStockEquity.sol,,172,DynaMOSA,true,0.475,1,6,0.16666666666666666,55,120,0.4583333333333333,24,28,0.8571428571428571,25,48,0.5208333333333334,957.7160000801086,11,63
XenoFelix.sol,,542,DynaMOSA,true,0.7089552238805971,5,18,0.2777777777777778,102,151,0.6754966887417219,52,63,0.8253968253968254,46,60,0.7666666666666667,846.2389998435974,10,63
Rexona.sol,,409,DynaMOSA,true,0.40476190476190477,5,22,0.22727272727272727,28,39,0.717948717948718,7,8,0.875,9,12,0.75,868.1399998664856,13,63
Fomp.sol,,528,DynaMOSA,true,0.6507936507936508,8,24,0.3333333333333333,64,92,0.6956521739130435,19,19,1,15,20,0.75,897.2249999046326,20,63
GreenMarkTrust.sol,,731,DynaMOSA,true,0.7916666666666666,1,2,0.5,28,37,0.7567567567567568,8,8,1,12,14,0.8571428571428571,904.0260000228882,16,63
KPLAY.sol,,519,DynaMOSA,true,0.625,2,12,0.16666666666666666,85,124,0.6854838709677419,39,46,0.8478260869565217,37,50,0.74,853.4110000133514,14,63
TetherToken.sol,,970,DynaMOSA,true,0.6226415094339622,6,12,0.5,41,51,0.803921568627451,11,11,1,27,30,0.9,852.4489998817444,13,63
OnXFinance.sol,,346,DynaMOSA,true,0.1650485436893204,5,26,0.19230769230769232,28,105,0.26666666666666666,7,37,0.1891891891891892,9,40,0.225,847.795000076294,11,63
afiController.sol,,454,DynaMOSA,true,0.4,0,10,0,43,102,0.4215686274509804,22,34,0.6470588235294118,33,56,0.5892857142857143,890.6270000934601,35,111
WolfStakingRewards.sol,,743,DynaMOSA,true,0.4090909090909091,5,14,0.35714285714285715,46,98,0.46938775510204084,24,38,0.631578947368421,18,40,0.45,848.0820000171661,15,111
POWToken.sol,,808,DynaMOSA,true,0.24561403508771928,6,26,0.23076923076923078,43,209,0.20574162679425836,25,63,0.3968253968253968,16,86,0.18604651162790697,889.9699997901917,10,111
RIT.sol,,45,DynaMOSA,true,0.6226415094339622,0,2,0,36,66,0.5454545454545454,20,29,0.6896551724137931,13,22,0.5909090909090909,866.6800000667572,17,111
Core_Fi_V3.sol,,892,DynaMOSA,true,0.75,2,4,0.5,15,22,0.6818181818181818,7,8,0.875,0,0,0,909.039999961853,20,111
DSP.sol,,963,DynaMOSA,true,0.6544117647058824,4,18,0.2222222222222222,96,154,0.6233766233766234,50,64,0.78125,40,60,0.6666666666666666,820.1840000152588,9,111
MisesLegacyPool.sol,,530,DynaMOSA,true,0.68,3,10,0.3,20,44,0.45454545454545453,10,11,0.9090909090909091,6,6,1,891.4110000133514,14,111
DMONDETHRewards.sol,,89,DynaMOSA,true,0.5824175824175825,7,14,0.5,66,105,0.6285714285714286,36,47,0.7659574468085106,19,34,0.5588235294117647,897.8489999771118,13,111
JGNRewards.sol,,568,DynaMOSA,true,0.7307692307692307,3,8,0.375,23,40,0.575,13,14,0.9285714285714286,6,6,1,887.3450000286102,15,111
