SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,SEARCH_TIME,ITERATIONS,ID
NAL.sol,,111,DynaMOSA,true,0.7050359712230215,5,18,0.2777777777777778,101,150,0.6733333333333333,54,65,0.8307692307692308,42,56,0.75,1662.8369998931885,13,150,120
AavePoolReward.sol,,612,DynaMOSA,true,0.7142857142857143,5,10,0.5,27,44,0.6136363636363636,11,12,0.9166666666666666,6,6,1,1785.4409999847412,17,189,120
LUP.sol,,853,DynaMOSA,true,0.575,2,12,0.16666666666666666,28,49,0.5714285714285714,15,18,0.8333333333333334,6,10,0.6,1669.539999961853,13,147,120
PACT.sol,,893,DynaMOSA,true,0.4230769230769231,0,0,0,22,72,0.3055555555555556,16,20,0.8,6,32,0.1875,1725.119000196457,17,191,120
GFC.sol,,579,DynaMOSA,true,0.7916666666666666,1,2,0.5,28,37,0.7567567567567568,8,8,1,12,14,0.8571428571428571,1670.6349999904633,15,175,120
BACMARSLPTOKENPool.sol,,177,DynaMOSA,true,0.5384615384615384,4,12,0.3333333333333333,49,94,0.5212765957446809,24,36,0.6666666666666666,16,30,0.5333333333333333,1692.979999780655,17,188,120
Weedburn.sol,,905,DynaMOSA,true,0.6447368421052632,2,10,0.2,60,88,0.6818181818181818,24,26,0.9230769230769231,28,40,0.7,1710.0989999771118,15,173,120
MARVELCOIN.sol,,59,DynaMOSA,true,0.7916666666666666,1,2,0.5,28,37,0.7567567567567568,8,8,1,12,14,0.8571428571428571,1705.2999999523163,18,198,120
MetaCoin.sol,,280,DynaMOSA,false,0.7,5,8,0.625,6,9,0.6666666666666666,2,2,1,0,0,0,1688.0859999656677,13,150,157
BancorV2_ZapIn_General_V1_1.sol,,185,DynaMOSA,false,0.3508771929824561,1,18,0.05555555555555555,30,118,0.2542372881355932,19,39,0.48717948717948717,8,42,0.19047619047619047,1744.0989999771118,14,161,157
GAZ_ERC20.sol,,174,DynaMOSA,false,0.6923076923076923,2,2,1,15,26,0.5769230769230769,7,11,0.6363636363636364,7,22,0.3181818181818182,1677.8610000610352,15,174,157
Rootkit_finance.sol,,813,DynaMOSA,false,0.8333333333333334,2,4,0.5,15,22,0.6818181818181818,7,8,0.875,0,0,0,1746.3610000610352,16,180,157
