SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,SEARCH_TIME,ITERATIONS,ID
Fomp.sol,,988,DynaMOSA,true,0.6666666666666666,8,24,0.3333333333333333,64,92,0.6956521739130435,19,19,1,15,20,0.75,1807.824000120163,36,33
BlueICE.sol,,867,DynaMOSA,false,0.6666666666666666,7,14,0.5,67,117,0.5726495726495726,31,43,0.7209302325581395,20,38,0.5263157894736842,1791.7650001049042,26,127
DJCoin.sol,,797,DynaMOSA,false,0.8275862068965517,3,6,0.5,69,91,0.7582417582417582,22,25,0.88,18,28,0.6428571428571429,1764.5460000038147,24,127
DatrixoEquityToken.sol,,39,DynaMOSA,false,0.6388888888888888,8,22,0.36363636363636365,46,62,0.7419354838709677,14,16,0.875,25,28,0.8928571428571429,1790.5230000019073,39,127
AavePoolReward.sol,,429,DynaMOSA,true,0.7037037037037037,5,10,0.5,27,44,0.6136363636363636,11,12,0.9166666666666666,6,6,1,1797.1849999427795,27,150
BACMARSLPTOKENPool.sol,,78,DynaMOSA,true,0.5333333333333333,6,12,0.5,52,94,0.5531914893617021,25,36,0.6944444444444444,17,30,0.5666666666666667,1747.7039999961853,25,150
Cryptoz.sol,,161,DynaMOSA,true,0.264,1,18,0.05555555555555555,27,155,0.17419354838709677,20,34,0.5882352941176471,14,74,0.1891891891891892,1685.5309998989105,10,150
EqFinanceStaking.sol,,473,DynaMOSA,true,0.352112676056338,4,20,0.2,24,88,0.2727272727272727,16,30,0.5333333333333333,7,22,0.3181818181818182,1840.1779999732971,34,12
FrogDAOGovernanceRewards.sol,,666,DynaMOSA,true,0.5897435897435898,5,10,0.5,30,56,0.5357142857142857,13,16,0.8125,8,16,0.5,1734.6730000972748,27,12
PRDZstakingV2.sol,,241,DynaMOSA,true,0.4268292682926829,5,26,0.19230769230769232,53,136,0.3897058823529412,26,39,0.6666666666666666,7,18,0.3888888888888889,1738.84099984169,28,12
Controller.sol,,477,Random,false,0.7037037037037037,0,8,0,38,70,0.5428571428571428,19,19,1,32,34,0.9411764705882353,1803.6259999275208,332,65
BAE.sol,,299,Random,false,0.35714285714285715,0,6,0,9,50,0.18,5,8,0.625,12,36,0.3333333333333333,1803.0540001392365,174,65
BTCParamV2.sol,,246,Random,false,0.19230769230769232,0,12,0,16,56,0.2857142857142857,5,16,0.3125,6,14,0.42857142857142855,1802.8669998645782,408,65
DSP.sol,,317,DynaMOSA,true,0.6764705882352942,4,18,0.2222222222222222,97,154,0.6298701298701299,52,64,0.8125,44,60,0.7333333333333333,1703.093999862671,18,81
DMONDETHRewards.sol,,603,DynaMOSA,true,0.6043956043956044,7,14,0.5,67,105,0.638095238095238,37,47,0.7872340425531915,19,34,0.5588235294117647,1723.574000120163,24,81
Core_Fi_V3.sol,,17,DynaMOSA,true,0.8333333333333334,2,4,0.5,15,22,0.6818181818181818,7,8,0.875,0,0,0,1817.6159999370575,34,81
Cover_ZapIn_General_V1.sol,,582,DynaMOSA,true,0.26262626262626265,2,16,0.125,39,129,0.3023255813953488,22,42,0.5238095238095238,13,44,0.29545454545454547,1727.4959998130798,17,18
Dynamic.sol,,136,DynaMOSA,true,0.75,1,2,0.5,3,4,0.75,2,2,1,0,0,0,1808.2130000591278,35,18
AntiBaseProtocol.sol,,251,DynaMOSA,true,0.7567567567567568,3,8,0.375,84,98,0.8571428571428571,39,42,0.9285714285714286,24,26,0.9230769230769231,1798.5769999027252,22,18
BancorV2_ZapIn_General_V1_1.sol,,324,DynaMOSA,false,0.2962962962962963,1,18,0.05555555555555555,30,118,0.2542372881355932,19,39,0.48717948717948717,8,42,0.19047619047619047,1847.3939998149872,20,115
FreakCoin.sol,,172,DynaMOSA,false,0.5652173913043478,5,10,0.5,56,74,0.7567567567567568,13,13,1,9,10,0.9,1785.8120000362396,28,115
CourtFarming_HTStake.sol,,28,DynaMOSA,false,0.6153846153846154,12,32,0.375,73,109,0.6697247706422018,20,20,1,4,4,1,1730.3810000419617,25,115
CourtFarming_HTStake.sol,,272,DynaMOSA,true,0.6071428571428571,12,32,0.375,73,109,0.6697247706422018,20,20,1,4,4,1,1729.46599984169,25,57
BancorV2_ZapIn_General_V1_1.sol,,985,DynaMOSA,true,0.22916666666666666,1,18,0.05555555555555555,30,118,0.2542372881355932,19,39,0.48717948717948717,8,42,0.19047619047619047,1773.8320000171661,19,57
FreakCoin.sol,,80,DynaMOSA,true,0.6060606060606061,5,10,0.5,57,74,0.7702702702702703,13,13,1,9,10,0.9,1726.901999950409,28,57
DSP.sol,,715,Random,false,0.7105263157894737,5,18,0.2777777777777778,105,154,0.6818181818181818,55,64,0.859375,47,60,0.7833333333333333,1805.1399998664856,234,20
Core_Fi_V3.sol,,667,Random,false,0.75,2,4,0.5,15,22,0.6818181818181818,7,8,0.875,0,0,0,1804.125,394,20
DMONDETHRewards.sol,,129,Random,false,0.7017543859649122,7,14,0.5,67,105,0.638095238095238,37,47,0.7872340425531915,19,34,0.5588235294117647,1803.8650000095367,285,20
BancorV2_ZapIn_General_V1_1.sol,,641,DynaMOSA,true,0.22916666666666666,1,18,0.05555555555555555,30,118,0.2542372881355932,19,39,0.48717948717948717,8,42,0.19047619047619047,1865.5199999809265,20,27
CourtFarming_HTStake.sol,,600,DynaMOSA,true,0.6071428571428571,12,32,0.375,73,109,0.6697247706422018,20,20,1,4,4,1,1807.141000032425,26,27
FreakCoin.sol,,246,DynaMOSA,true,0.6060606060606061,5,10,0.5,56,74,0.7567567567567568,13,13,1,9,10,0.9,1817.792000055313,29,27
DSP.sol,,953,Random,false,0.6973684210526315,4,18,0.2222222222222222,108,154,0.7012987012987013,55,64,0.859375,48,60,0.8,1803.6100001335144,232,50
DMONDETHRewards.sol,,589,Random,false,0.7017543859649122,7,14,0.5,67,105,0.638095238095238,37,47,0.7872340425531915,19,34,0.5588235294117647,1804.4100000858307,271,50
Core_Fi_V3.sol,,301,Random,false,0.75,2,4,0.5,15,22,0.6818181818181818,7,8,0.875,0,0,0,1800.8959999084473,377,50
BirdOracle.sol,,661,DynaMOSA,false,0.6153846153846154,14,28,0.5,43,66,0.6515151515151515,9,9,1,0,2,0,1846.7860000133514,42,112
Liquidity_v8.sol,,270,DynaMOSA,false,0.3877551020408163,2,18,0.1111111111111111,34,126,0.2698412698412698,18,33,0.5454545454545454,14,48,0.2916666666666667,1736.87700009346,25,112
Final.sol,,232,DynaMOSA,false,0.20634920634920634,6,26,0.23076923076923078,28,105,0.26666666666666666,7,37,0.1891891891891892,9,40,0.225,1721.2999999523163,21,112
Cryptoz.sol,,18,DynaMOSA,false,0.49019607843137253,2,18,0.1111111111111111,46,155,0.2967741935483871,22,34,0.6470588235294118,27,74,0.36486486486486486,1683.3129999637604,10,118
BACMARSLPTOKENPool.sol,,434,DynaMOSA,false,0.5333333333333333,4,12,0.3333333333333333,49,94,0.5212765957446809,24,36,0.6666666666666666,16,30,0.5333333333333333,1791.8420000076294,27,118
AavePoolReward.sol,,759,DynaMOSA,false,0.7142857142857143,5,10,0.5,27,44,0.6136363636363636,11,12,0.9166666666666666,6,6,1,1810.8410000801086,27,118
FairStockEquity.sol,,631,Random,false,0.78125,1,6,0.16666666666666666,57,120,0.475,26,28,0.9285714285714286,28,48,0.5833333333333334,1805.6100001335144,216,62
GardenContractV2.sol,,647,Random,false,0.32978723404255317,7,62,0.11290322580645161,48,197,0.2436548223350254,24,32,0.75,0,22,0,1804.7059998512268,231,62
Fomp.sol,,771,Random,false,0.6511627906976745,8,24,0.3333333333333333,65,92,0.7065217391304348,19,19,1,17,20,0.85,1804.2149999141693,412,62
CourtFarming_RoomLPStake.sol,,623,DynaMOSA,true,0.625,13,32,0.40625,73,108,0.6759259259259259,20,20,1,4,4,1,1772.228000164032,27,15
Baz.sol,,587,DynaMOSA,true,0.6,6,8,0.75,12,16,0.75,2,2,1,0,0,0,1777.9319999217987,28,15
ANRXToken.sol,,346,DynaMOSA,true,0.5641025641025641,6,12,0.5,34,44,0.7727272727272727,11,11,1,13,16,0.8125,1844.4900000095367,25,15
DJCoin.sol,,966,Random,false,0.8275862068965517,3,6,0.5,69,91,0.7582417582417582,22,25,0.88,18,28,0.6428571428571429,1802.6960000991821,301,68
DmmControllerV2.sol,,416,Random,false,0.34285714285714286,0,14,0,80,258,0.31007751937984496,40,111,0.36036036036036034,16,102,0.1568627450980392,1808.8090000152588,91,68
DatrixoEquityToken.sol,,712,Random,false,0.6388888888888888,8,22,0.36363636363636365,46,62,0.7419354838709677,14,16,0.875,25,28,0.8928571428571429,1801.8129999637604,454,68
FreakCoin.sol,,254,Random,false,0.782608695652174,5,10,0.5,56,74,0.7567567567567568,13,13,1,9,10,0.9,1805.7050001621246,342,86
CourtFarming_HTStake.sol,,784,Random,false,0.6153846153846154,12,32,0.375,73,109,0.6697247706422018,20,20,1,4,4,1,1803.0460000038147,286,86
BancorV2_ZapIn_General_V1_1.sol,,11,Random,false,0.2962962962962963,1,18,0.05555555555555555,30,118,0.2542372881355932,19,39,0.48717948717948717,8,42,0.19047619047619047,1800.5879998207092,222,86
AavePoolReward.sol,,587,DynaMOSA,true,0.7407407407407407,5,10,0.5,27,44,0.6136363636363636,11,12,0.9166666666666666,6,6,1,1845.0230000019073,27,120
Cryptoz.sol,,787,DynaMOSA,true,0.352,2,18,0.1111111111111111,43,155,0.27741935483870966,22,34,0.6470588235294118,26,74,0.35135135135135137,1721.5120000839233,10,120
BACMARSLPTOKENPool.sol,,584,DynaMOSA,true,0.5066666666666667,4,12,0.3333333333333333,49,94,0.5212765957446809,24,36,0.6666666666666666,16,30,0.5333333333333333,1748.4290001392365,26,120
Core_Fi_V3.sol,,372,DynaMOSA,false,0.8333333333333334,2,4,0.5,15,22,0.6818181818181818,7,8,0.875,0,0,0,1807.3570001125336,32,49
DMONDETHRewards.sol,,553,DynaMOSA,false,0.7017543859649122,7,14,0.5,67,105,0.638095238095238,37,47,0.7872340425531915,19,34,0.5588235294117647,1767.2519998550415,25,49
DSP.sol,,340,DynaMOSA,false,0.6973684210526315,5,18,0.2777777777777778,104,154,0.6753246753246753,53,64,0.828125,44,60,0.7333333333333333,1746.8220000267029,18,49
Controller.sol,,44,DynaMOSA,false,0.7037037037037037,0,8,0,38,70,0.5428571428571428,19,19,1,32,34,0.9411764705882353,1766.2480001449585,29,34
BAE.sol,,346,DynaMOSA,false,0.35714285714285715,0,6,0,9,50,0.18,5,8,0.625,12,36,0.3333333333333333,1776.5590000152588,15,34
