Group.1,Group.2,TOTAL_COVERAGE,FUNCTION_COVERAGE,BRANCH_COVERAGE,LINE_COVERAGE,PROBE_COVERAGE,ITERATIONS,TOTAL_PROBES
EqFinanceStaking.sol,DynaMOSA_TRUE,0.3888888888888889,0.5466666666666666,0.2,0.29318181818181815,0.34545454545454546,31.4,22
FairStockEquity.sol,DynaMOSA_TRUE,0.6707317073170732,0.9071428571428571,0.16666666666666666,0.47833333333333333,0.5958333333333333,17.8,48
Final.sol,DynaMOSA_TRUE,0.20776699029126214,0.1891891891891892,0.2076923076923077,0.26666666666666666,0.225,21.6,40
Fomp.sol,DynaMOSA_TRUE,0.6857142857142857,1,0.35,0.7043478260869566,0.79,36.8,20
FreakCoin.sol,DynaMOSA_TRUE,0.8666666666666667,1,0.6,0.7783783783783784,0.96,30.2,10
FrogDAO.sol,DynaMOSA_TRUE,1,1,0,0.84,1,21.4,4
FrogDAOGovernanceRewards.sol,DynaMOSA_TRUE,0.6,0.8125,0.5,0.5142857142857142,0.45,29,16
GardenContractV2.sol,DynaMOSA_TRUE,0.27370689655172414,0.765625,0.11693548387096774,0.25253807106598986,0,20.25,22
GAZ_ERC20.sol,DynaMOSA_TRUE,0.48,0.6363636363636364,1,0.6076923076923078,0.35454545454545455,32.8,22
GFC.sol,DynaMOSA_TRUE,0.8833333333333333,1,0.5,0.772972972972973,0.8714285714285714,26,14
GreenMarkTrust.sol,DynaMOSA_TRUE,0.9166666666666666,1,0.5,0.8702702702702703,0.9285714285714286,34.2,14
GUMARewards.sol,DynaMOSA_TRUE,0.5581395348837209,0.6818181818181818,0.3333333333333333,0.5604395604395604,0.4666666666666667,27,30
HTDD_contract.sol,DynaMOSA_TRUE,0.9428571428571428,1,0,0.9076923076923077,0.925,33,16
INS.sol,DynaMOSA_TRUE,0.8916666666666666,1,0.5,0.7891891891891892,0.8857142857142857,36.6,14
JGNRewards.sol,DynaMOSA_TRUE,0.7857142857142857,0.9285714285714286,0.375,0.575,1,28.2,6
KPLAY.sol,DynaMOSA_TRUE,0.7611111111111112,0.8826086956521739,0.16666666666666666,0.7225806451612903,0.7919999999999999,25.4,50
LIBERAPAY.sol,DynaMOSA_TRUE,0.6752136752136753,0.8717948717948718,0.17857142857142858,0.601418439716312,0.8,23.6,50
Liquidity_v8.sol,DynaMOSA_TRUE,0.3434343434343434,0.5454545454545454,0.1111111111111111,0.2698412698412698,0.2916666666666667,25.6,48
LpStaking.sol,DynaMOSA_TRUE,0.3157894736842105,0.4583333333333333,0.08333333333333333,0.2805755395683453,0.2857142857142857,24.4,42
LUP.sol,DynaMOSA_TRUE,0.585,0.8333333333333334,0.16666666666666666,0.5877551020408163,0.64,19,10
MarsStakingRewards.sol,DynaMOSA_TRUE,0.49514563106796117,0.6408163265306123,0.19999999999999998,0.4365217391304348,0.4095238095238095,24,42
MARVELCOIN.sol,DynaMOSA_TRUE,0.925,1,0.5,0.8756756756756757,0.9428571428571428,35.4,14
MetaCoin.sol,DynaMOSA_TRUE,0.8,1,0.75,0.7777777777777778,0,21,0
MetaCoin2.sol,DynaMOSA_TRUE,0.8333333333333334,1,0.5,1,0,22.2,0
MIMOToken.sol,DynaMOSA_TRUE,0.875,1,0.5,0.5813953488372093,0.8333333333333334,24.4,12
MisesLegacyPool.sol,DynaMOSA_TRUE,0.7037037037037037,0.9090909090909091,0.3,0.45454545454545453,1,28,6
MoshiachCoinStaking.sol,DynaMOSA_TRUE,0.4305555555555555,0.5866666666666667,0.2,0.35454545454545455,0.42727272727272725,36,22
NAL.sol,DynaMOSA_TRUE,0.7482014388489209,0.8615384615384616,0.24444444444444444,0.6880000000000001,0.7785714285714286,18.4,56
NasiLiquidityPoolFactory.sol,DynaMOSA_TRUE,0.13114754098360656,0.1660377358490566,0.036,0.14250000000000002,0.1431818181818182,10.2,88
OnXFinance.sol,DynaMOSA_TRUE,0.20970873786407765,0.1891891891891892,0.2153846153846154,0.26666666666666666,0.225,24.4,40
PACT.sol,DynaMOSA_TRUE,0.46153846153846156,0.85,0,0.3194444444444444,0.21875,30.2,32
PlasmaswapPair.sol,DynaMOSA_TRUE,0.22033898305084745,0.5714285714285714,0,0.20202020202020202,0.22727272727272727,29,22
POWToken.sol,DynaMOSA_TRUE,0.31085714285714283,0.4380952380952381,0.2230769230769231,0.23253588516746412,0.2441860465116279,19.4,86
PRDZstakingV2.sol,DynaMOSA_TRUE,0.4626506024096385,0.6717948717948717,0.19230769230769232,0.39705882352941174,0.4,27.6,18
QuickToken.sol,DynaMOSA_TRUE,0.6615384615384615,0.6956521739130435,0.375,0.6973684210526315,0.7058823529411765,31,34
RainbowRAK.sol,DynaMOSA_TRUE,0.5625,0.7142857142857143,0.42857142857142855,0.5217391304347826,0.45,25.8,40
Reentrance.sol,DynaMOSA_TRUE,0.3076923076923077,0.36666666666666664,0.3,0.3,0.24000000000000002,31.8,10
Revive.sol,DynaMOSA_TRUE,0.7083333333333334,0.868421052631579,0.4090909090909091,0.6862385321100918,0.7222222222222222,28.4,36
Rexona.sol,DynaMOSA_TRUE,0.5095238095238095,0.875,0.24545454545454545,0.717948717948718,0.75,26.4,12
REXUNIFINANCE.sol,DynaMOSA_TRUE,0.8061538461538461,0.9090909090909091,0.5,0.7517241379310344,0.7961538461538462,35,52
RIT.sol,DynaMOSA_TRUE,0.6377358490566037,0.6896551724137931,0,0.6060606060606061,0.6272727272727273,34.2,22
Rootkit_finance.sol,DynaMOSA_TRUE,0.8166666666666667,0.875,0.7,0.7181818181818181,0,29.6,0
SALESCONTRACT.sol,DynaMOSA_TRUE,0.25,1,0,0.24561403508771928,0.08333333333333333,30.4,24
SLTDETHlpReward.sol,DynaMOSA_TRUE,0.6631578947368421,0.7872340425531915,0.5,0.638095238095238,0.5588235294117647,24,34
SLTDStaking.sol,DynaMOSA_TRUE,0.5268817204301075,0.6170212765957447,0.3333333333333333,0.47,0.47058823529411764,27.2,34
SSTRewards.sol,DynaMOSA_TRUE,0.7857142857142857,0.9285714285714286,0.375,0.575,1,29,6
StakingDextoken.sol,DynaMOSA_TRUE,0.7586206896551724,0.9259259259259259,0.4,0.578494623655914,0.74,27.2,50
Straight_Fire_Finance.sol,DynaMOSA_TRUE,0.8333333333333334,0.875,0.75,0.7272727272727273,0,34.2,0
TetherToken.sol,DynaMOSA_TRUE,0.8377358490566038,1,0.5,0.807843137254902,0.9133333333333333,26.6,30
ThriftToken.sol,DynaMOSA_TRUE,0.8430769230769231,0.9090909090909091,0.5,0.8,0.8423076923076923,34,52
TimeMiner.sol,DynaMOSA_TRUE,0.9069767441860465,1,0.6666666666666666,0.8644444444444445,0.8888888888888888,37.6,18
Token50X100.sol,DynaMOSA_TRUE,0.33809523809523806,0.605,0.08888888888888888,0.3698630136986301,0.304,29.4,50
TokenDispatch.sol,DynaMOSA_TRUE,0.21212121212121213,0.7,0,0.2,0.20588235294117646,92.4,34
TPA.sol,DynaMOSA_TRUE,0.7410071942446043,0.8615384615384616,0.25555555555555554,0.6813333333333333,0.7571428571428571,18,56
UFragments.sol,DynaMOSA_TRUE,0.30927835051546393,0.5714285714285714,0.17857142857142858,0.3088235294117647,0.14705882352941177,60.4,34
UNIWHALE_ERC20.sol,DynaMOSA_TRUE,0.4090909090909091,0.875,0,0.4146341463414634,0.25,43,8
Vat.sol,DynaMOSA_TRUE,0.694949494949495,0.9586206896551724,0.5,0.6653061224489796,0.5967741935483871,30.8,62
vnxManager.sol,DynaMOSA_TRUE,0.6875,0.95,0,0.6976744186046512,0.5384615384615384,46,26
Voting.sol,DynaMOSA_TRUE,0.13106382978723405,0.2036036036036036,0,0.1024,0.08723404255319149,14,94
Wallet.sol,DynaMOSA_TRUE,0.9666666666666667,1,0,0.9,0.95,35.2,4
Weedburn.sol,DynaMOSA_TRUE,0.763157894736842,0.9230769230769231,0.24000000000000002,0.7363636363636364,0.79,38.6,40
WheatFarm.sol,DynaMOSA_TRUE,0.21359223300970873,0.1891891891891892,0.23076923076923078,0.26666666666666666,0.225,47.2,40
WOLF.sol,DynaMOSA_TRUE,0.5238095238095238,0.875,0.2727272727272727,0.717948717948718,0.75,34,12
WolfStakingRewards.sol,DynaMOSA_TRUE,0.516304347826087,0.631578947368421,0.35714285714285715,0.4744897959183674,0.4625,26,40
XenoFelix.sol,DynaMOSA_TRUE,0.7290780141843972,0.8444444444444444,0.26666666666666666,0.6701986754966888,0.7466666666666667,24.6,60
YieldFarmLP2.sol,DynaMOSA_TRUE,0.30952380952380953,0.8571428571428571,0.05,0.35185185185185186,0,26,8
YRX3.sol,DynaMOSA_TRUE,0.6,0.7291666666666666,0.3888888888888889,0.6018518518518519,0.5294117647058824,23.4,34
ZAD.sol,DynaMOSA_TRUE,0.6377358490566037,0.6965517241379311,0,0.5909090909090909,0.6181818181818182,44.4,22
AavePoolReward.sol,Random_FALSE,0.7857142857142857,0.9166666666666666,0.5,0.6136363636363636,1,295.2,6
afiController.sol,Random_FALSE,0.55,0.6470588235294118,0,0.4215686274509804,0.5892857142857143,656.8,56
ANRXToken.sol,Random_FALSE,0.7692307692307693,1,0.5,0.7727272727272727,0.8125,263.6,16
AntiBaseProtocol.sol,Random_FALSE,0.868421052631579,0.9285714285714286,0.375,0.8653061224489795,0.9230769230769231,296.4,26
BACMARSLPTOKENPool.sol,Random_FALSE,0.6153846153846154,0.6944444444444444,0.5,0.5531914893617021,0.5666666666666667,317.2,30
BAE.sol,Random_FALSE,0.34,0.625,0,0.18,0.3333333333333333,168.2,36
BancorV2_ZapIn_General_V1_1.sol,Random_FALSE,0.2828282828282828,0.48717948717948717,0.05555555555555555,0.2542372881355932,0.19047619047619047,215.2,42
Baz.sol,Random_FALSE,0.9,1,0.875,0.875,0,442.2,0
BirdOracle.sol,Random_FALSE,0.6307692307692309,1,0.5571428571428572,0.6757575757575757,0,429.2,2
BlueICE.sol,Random_FALSE,0.6105263157894737,0.7209302325581395,0.5,0.5726495726495726,0.5263157894736842,285.8,38
BTCParamV2.sol,Random_FALSE,0.2619047619047619,0.3125,0,0.2857142857142857,0.42857142857142855,443.8,14
Controller.sol,Random_FALSE,0.8360655737704918,1,0,0.5428571428571428,0.9411764705882353,342.2,34
Core_Fi_V3.sol,Random_FALSE,0.7666666666666667,0.875,0.55,0.6909090909090909,0,354.6,0
CourtFarming_HTStake.sol,Random_FALSE,0.6428571428571429,1,0.375,0.6697247706422018,1,301,4
CourtFarming_RoomLPStake.sol,Random_FALSE,0.6428571428571429,1,0.375,0.6759259259259259,1,303.6,4
Cover_ZapIn_General_V1.sol,Random_FALSE,0.3627450980392157,0.5238095238095238,0.125,0.3023255813953488,0.29545454545454547,202,44
CryptoGhost.sol,Random_FALSE,0.8129032258064516,1,0.885,0.8051948051948052,0.4166666666666667,87,12
CryptoSecureBankToken.sol,Random_FALSE,0.7647058823529411,0.9696969696969697,0.46153846153846156,0.7211538461538461,0.8076923076923077,229.6,26
Cryptoz.sol,Random_FALSE,0.42592592592592593,0.6960784313725491,0.1111111111111111,0.30752688172043013,0.3783783783783784,120,74
DatrixoEquityToken.sol,Random_FALSE,0.7121212121212122,0.875,0.36363636363636365,0.7419354838709677,0.8928571428571429,472.3333333333333,28
Dipex.sol,Random_FALSE,0.5047619047619047,0.875,0.23636363636363636,0.717948717948718,0.75,366.2,12
DJCoin.sol,Random_FALSE,0.7288135593220338,0.88,0.5,0.7582417582417582,0.6428571428571429,306.2,28
DmmControllerV2.sol,Random_FALSE,0.24140969162995596,0.32972972972972975,0.04285714285714286,0.28449612403100777,0.17254901960784313,89.4,102
DMONDETHRewards.sol,Random_FALSE,0.6631578947368421,0.7872340425531915,0.5,0.638095238095238,0.5588235294117647,292.4,34
DSP.sol,Random_FALSE,0.7661971830985915,0.875,0.25555555555555554,0.6909090909090909,0.8033333333333333,233,60
Dynamic.sol,Random_FALSE,0.75,1,0.5,0.75,0,465.4,0
EdenCoin.sol,Random_FALSE,0.7833333333333333,1,0.5,0.7696969696969697,0.7000000000000001,340.8,14
