SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
ERC721.sol,,547,DynaMOSA,false,false,0.48,0,4,0,15,56,0.26785714285714285,12,21,0.5714285714285714,5,32,0.15625,5.807999849319458,894.4539999961853,900.2619998455048,188,2069,1
IERC721.sol,,547,DynaMOSA,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1110000610351562,897.9630000591278,900.074000120163,572,6296,1
IERC721Receiver.sol,,547,DynaMOSA,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,1.448000192642212,898.6519999504089,900.1000001430511,551,6069,1
ERC165.sol,,547,DynaMOSA,false,false,0,0,0,0,0,4,0,0,3,0,0,2,0,1.499000072479248,898.6209998130798,900.1199998855591,530,5837,1
IERC165.sol,,547,DynaMOSA,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36899995803833,898.6730000972748,900.0420000553131,536,5899,1
