SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
ERC721.sol,,712,DynaMOSA,false,false,0.48,0,4,0,13,56,0.23214285714285715,12,21,0.5714285714285714,5,32,0.15625,4.988000154495239,895.2549998760223,900.2430000305176,202,2225,1
IERC721.sol,,712,DynaMOSA,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,2.178999900817871,897.8670001029968,900.0460000038147,576,6339,1
IERC721Receiver.sol,,712,DynaMOSA,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5239999294281006,898.5090000629425,900.0329999923706,555,6109,1
ERC165.sol,,712,DynaMOSA,false,false,0,0,0,0,0,4,0,0,3,0,0,2,0,1.9279999732971191,898.2290000915527,900.1570000648499,531,5847,1
IERC165.sol,,712,DynaMOSA,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6660001277923584,898.521999835968,900.1879999637604,541,5955,1
